date,open,low,high,close,volume
2025-01-27 03:45:00,155.155,155.045,155.189,155.128,6062
2025-01-27 03:30:00,155.415,155.153,155.416,155.155,6648
2025-01-27 03:15:00,155.481,155.341,155.485,155.415,7293
2025-01-27 03:00:00,155.877,155.481,155.905,155.481,7732
2025-01-27 02:45:00,155.786,155.761,155.891,155.877,4863
2025-01-27 02:30:00,155.788,155.681,155.833,155.786,5160
2025-01-27 02:15:00,155.782,155.759,155.875,155.788,4843
2025-01-27 02:00:00,155.987,155.751,155.99,155.782,4383
2025-01-27 01:45:00,156.136,155.971,156.142,155.987,3224
2025-01-27 01:30:00,156.069,156.019,156.137,156.136,3249
2025-01-27 01:15:00,156.194,156.063,156.242,156.069,3488
2025-01-27 01:00:00,156.059,156.058,156.224,156.194,3746
2025-01-27 00:45:00,155.946,155.931,156.062,156.059,2191
2025-01-27 00:30:00,155.991,155.935,156.02,155.946,3036
2025-01-27 00:15:00,156.035,155.968,156.09,155.991,2538
2025-01-27 00:00:00,156.01,156.01,156.075,156.035,2269
2025-02-05 17:45:00,152.552,152.535,152.556,152.546,236
2025-02-05 17:30:00,152.539,152.497,152.565,152.552,347
2025-02-05 17:15:00,152.524,152.515,152.562,152.539,129
2025-02-05 17:00:00,152.584,152.502,152.584,152.524,48
2025-02-05 16:45:00,152.615,152.574,152.649,152.584,2058
2025-02-05 16:30:00,152.633,152.609,152.695,152.615,1186
2025-02-05 16:15:00,152.604,152.603,152.664,152.633,1381
2025-02-05 16:00:00,152.69,152.603,152.705,152.604,1448
2025-02-05 15:45:00,152.729,152.688,152.764,152.69,2160
2025-02-05 15:30:00,152.649,152.643,152.737,152.729,1760
2025-02-05 15:15:00,152.685,152.648,152.722,152.649,2658
2025-02-05 15:00:00,152.518,152.518,152.69,152.685,3560
2025-02-05 14:45:00,152.497,152.484,152.539,152.518,3721
2025-02-05 14:30:00,152.435,152.416,152.51,152.497,2271
2025-02-05 14:15:00,152.438,152.416,152.458,152.435,2160
2025-02-05 14:00:00,152.314,152.307,152.439,152.438,2664
2025-02-05 13:45:00,152.308,152.276,152.364,152.314,2364
2025-02-05 13:30:00,152.32,152.274,152.342,152.308,2761
2025-02-05 13:15:00,152.381,152.309,152.381,152.32,3230
2025-02-05 13:00:00,152.286,152.242,152.402,152.381,2873
2025-02-05 12:45:00,152.368,152.247,152.368,152.286,3410
2025-02-05 12:30:00,152.405,152.332,152.407,152.368,2722
2025-02-05 12:15:00,152.341,152.325,152.439,152.405,4264
2025-02-05 12:00:00,152.334,152.285,152.386,152.341,2634
2025-02-05 11:45:00,152.301,152.301,152.38,152.334,4353
2025-02-05 11:30:00,152.239,152.147,152.34,152.301,4899
2025-02-05 11:15:00,152.286,152.169,152.303,152.239,5174
2025-02-05 11:00:00,152.134,152.11,152.321,152.286,8119
2025-02-05 10:45:00,152.201,152.109,152.356,152.134,11270
2025-02-05 10:30:00,152.232,152.124,152.308,152.201,9043
2025-02-05 10:15:00,152.347,152.136,152.35,152.232,11110
2025-02-05 10:00:00,152.756,152.285,152.756,152.347,17357
2025-02-05 09:45:00,153.027,152.756,153.052,152.756,7061
2025-02-05 09:30:00,153.0,152.911,153.04,153.027,6610
2025-02-05 09:15:00,153.132,152.99,153.179,153.0,5700
2025-02-05 09:00:00,153.041,153.011,153.204,153.132,6543
2025-02-05 08:45:00,152.989,152.971,153.104,153.041,8287
2025-02-05 08:30:00,152.962,152.82,153.035,152.989,9387
2025-02-05 08:15:00,152.742,152.737,153.073,152.962,8958
2025-02-05 08:00:00,152.859,152.742,152.937,152.742,4400
2025-02-05 07:45:00,152.913,152.793,152.945,152.859,3530
2025-02-05 07:30:00,152.76,152.737,152.943,152.913,3293
2025-02-05 07:15:00,152.827,152.748,152.844,152.76,2591
2025-02-05 07:00:00,152.868,152.822,152.896,152.827,2370
2025-02-05 06:45:00,152.786,152.767,152.882,152.868,2956
2025-02-05 06:30:00,152.754,152.744,152.799,152.786,2175
2025-02-05 06:15:00,152.685,152.68,152.801,152.754,3048
2025-02-05 06:00:00,152.638,152.621,152.755,152.685,3325
2025-02-05 05:45:00,152.598,152.597,152.685,152.638,3027
2025-02-05 05:30:00,152.66,152.545,152.662,152.598,3975
2025-02-05 05:15:00,152.668,152.648,152.717,152.66,3112
2025-02-05 05:00:00,152.84,152.618,152.841,152.668,4339
2025-02-05 04:45:00,152.682,152.678,152.842,152.84,4893
2025-02-05 04:30:00,152.854,152.637,152.886,152.682,5778
2025-02-05 04:15:00,152.932,152.817,152.949,152.854,5001
2025-02-05 04:00:00,153.052,152.927,153.128,152.932,5516
2025-02-05 03:45:00,153.009,152.911,153.057,153.052,4463
2025-02-05 03:30:00,153.353,153.004,153.38,153.009,5978
2025-02-05 03:15:00,153.278,153.273,153.391,153.353,5613
2025-02-05 03:00:00,153.3,153.192,153.359,153.278,7093
2025-02-05 02:45:00,153.218,153.143,153.362,153.3,4870
2025-02-05 02:30:00,153.096,153.067,153.27,153.218,4304
2025-02-05 02:15:00,153.283,153.068,153.301,153.096,4879
2025-02-05 02:00:00,153.183,153.15,153.343,153.283,4009
2025-02-05 01:45:00,153.192,153.155,153.24,153.183,3785
2025-02-05 01:30:00,153.276,153.174,153.311,153.192,3805
2025-02-05 01:15:00,153.394,153.236,153.399,153.276,4107
